Date,pH,Turbidity,TSS,FRC,Conductivity,TDS,Total_Hardness,Calcium_Hardness,Magnesium_Hardness,Chlorides,Ortho_PO4,Total_Iron,SS,Sulphate,Silica,Total_PO4,Total_Alkalinity,P_Alkalinity,PO4
2010-09-29,8.01,100.0,,,,2410.0,693.0,423.0,,840.0,,,,,110.0,,125.0,0.0,6.2
2010-10-01,8.3,126.0,,,,2320.0,588.0,360.0,,864.0,,,,,100.0,,150.0,0.0,7.0
2010-10-05,8.05,50.0,,,,1900.0,609.0,371.0,,670.0,,,,,87.0,,120.0,0.0,6.1
2010-10-08,8.12,100.0,,,,2530.0,623.0,380.0,,925.0,,,,,90.0,,120.0,0.0,6.1
2010-10-11,8.15,50.0,,,,1960.0,469.0,286.0,,650.0,,,,,78.0,,125.0,0.0,6.2
2010-10-13,8.2,150.0,,,,2500.0,420.0,256.0,,940.0,,,,,90.0,,130.0,0.0,6.1
2010-10-15,8.05,100.0,,,,2500.0,378.0,230.0,,714.0,,,,,92.0,,125.0,0.0,6.0
2010-10-18,8.01,200.0,,,,2180.0,462.0,282.0,,572.0,,,,,76.0,,130.0,0.0,6.0
2010-10-20,7.95,120.0,,,,1850.0,470.0,286.0,,522.0,,,,,92.0,,120.0,0.0,6.2
2010-10-22,8.28,80.0,,,,1870.0,412.0,251.0,,378.0,,,,,90.0,,150.0,0.0,6.2
2010-10-27,8.02,25.0,,,,1590.0,353.0,215.0,,192.0,,,,,76.0,,120.0,0.0,6.0
2010-10-29,7.9,44.0,,,,1650.0,431.0,263.0,,275.0,,,,,85.0,,110.0,0.0,6.1
2010-11-01,8.05,42.0,,,,1350.0,517.0,315.0,,275.0,,,,,71.0,,110.0,0.0,6.0
2010-11-15,7.95,16.0,,,,1432.0,666.0,406.0,,233.0,,,,,75.0,,110.0,0.0,6.0
2010-11-18,7.93,14.0,,,,1400.0,524.0,423.0,,413.0,,,,,72.0,,110.0,0.0,6.1
2010-11-22,8.12,16.0,,,,1430.0,725.0,442.0,,210.0,,,,,74.0,,120.0,0.0,6.1
2010-11-24,8.16,18.0,,,,1700.0,700.0,427.0,,464.0,,,,,84.0,,125.0,0.0,6.1
2010-11-26,7.85,19.0,,,,1715.0,678.0,490.0,,461.0,,,,,85.0,,110.0,0.0,6.1
2010-11-29,8.15,17.0,,,,1600.0,710.0,441.0,,441.0,,,,,83.0,,115.0,0.0,6.1
2010-12-01,7.76,15.0,,,,1610.0,640.0,390.0,,437.0,,,,,82.0,,100.0,0.0,6.0
2010-12-03,7.95,14.0,,,,1560.0,643.0,407.0,,413.0,,,,,80.0,,110.0,0.0,6.1
2010-12-06,8.1,15.0,,,,1660.0,680.0,415.0,,426.0,,,,,90.0,,120.0,0.0,6.0
2010-12-08,7.8,14.0,,,,1550.0,720.0,439.0,,395.0,,,,,85.0,,100.0,0.0,6.2
2010-12-14,8.23,15.0,,,,1420.0,680.0,415.0,,318.0,,,,,82.0,,120.0,0.0,6.1
2010-12-16,8.15,17.0,,,,1700.0,828.0,505.0,,381.0,,,,,102.0,,125.0,0.0,6.0
2010-12-20,8.14,60.0,,,,1550.0,816.0,500.0,,372.0,,,,,82.0,,125.0,0.0,6.0
2010-12-22,7.7,80.0,,,,1700.0,920.0,561.0,,348.0,,,,,95.0,,100.0,0.0,6.2
2010-12-24,8.06,60.0,,,,1453.0,760.0,464.0,,292.0,,,,,80.0,,1150.0,0.0,6.0
2010-12-27,7.94,70.0,,,,1500.0,888.0,548.0,,312.0,,,,,85.0,,125.0,0.0,6.1
2011-01-01,7.8,45.0,,,,1810.0,804.0,492.0,,309.0,,,,,96.0,,110.0,0.0,6.0
2011-01-03,8.05,56.0,,,,1730.0,800.0,488.0,,292.0,,,,,74.0,,120.0,0.0,6.1
2011-01-05,8.02,55.0,,,,1650.0,760.0,464.0,,282.0,,,,,52.0,,110.0,0.0,6.0
2011-01-07,8.2,42.0,,,,1600.0,732.0,447.0,,269.0,,,,,50.0,,120.0,0.0,6.0
2011-01-10,8.11,40.0,,,,1750.0,748.0,456.0,,269.0,,,,,60.0,,110.0,0.0,6.0
2011-01-12,8.1,27.0,,,,1760.0,800.0,488.0,,265.0,,,,,61.0,,140.0,0.0,7.0
2011-01-19,8.15,20.0,,,,1850.0,520.0,317.0,,212.0,,,,,75.0,,145.0,0.0,6.0
2011-01-21,7.85,18.0,,,,1450.0,540.0,329.0,,238.0,,,,,70.0,,110.0,0.0,6.0
2011-01-24,7.98,30.0,,,,1730.0,620.0,378.0,,232.0,,,,,72.0,,130.0,0.0,6.1
2011-01-28,8.24,20.0,,,,1500.0,560.0,342.0,,206.0,,,,,65.0,,140.0,0.0,6.0
2011-01-31,8.15,20.0,,,,1175.0,580.0,354.0,,175.0,,,,,68.0,,130.0,0.0,6.0
2011-02-02,8.1,20.0,,,,1200.0,580.0,354.0,,166.0,,,,,70.0,,120.0,0.0,6.0
2011-02-04,8.14,24.0,,,,1250.0,600.0,366.0,,169.0,,,,,73.0,,140.0,0.0,6.0
2011-02-07,8.1,20.0,,,,1400.0,660.0,403.0,,179.0,,,,,75.0,,150.0,0.0,6.0
2011-02-09,7.84,30.0,,,,1210.0,680.0,415.0,,166.0,,,,,72.0,,100.0,0.0,6.0
2011-02-11,7.9,25.0,,,,1560.0,660.0,402.0,,172.0,,,,,85.0,,110.0,0.0,6.0
2011-02-21,8.45,20.0,,,,1200.0,600.0,366.0,,139.0,,,,,76.0,,120.0,0.0,6.0
2011-02-22,7.96,18.0,,,,1300.0,572.0,376.0,,159.0,,,,,72.0,,110.0,0.0,6.0
2011-02-25,8.02,76.0,,,,1330.0,552.0,316.0,,159.0,,,,,73.0,,125.0,0.0,6.0
2011-03-01,8.25,36.0,,,,1930.0,580.0,354.0,,148.0,,,,,82.0,,100.0,0.0,6.0
2011-03-03,7.82,50.0,,,,2045.0,544.0,340.0,,128.0,,,,,82.0,,100.0,0.0,6.0
2011-03-08,8.12,39.0,,,,1490.0,516.0,320.0,,144.0,,,,,84.0,,175.0,0.0,6.4
2011-03-15,8.0,39.0,,,,1740.0,620.0,360.0,,136.0,,,,,,,125.0,0.0,6.5
2011-03-23,7.75,16.0,,,,1670.0,560.0,342.0,,200.0,,,,,92.0,,100.0,0.0,6.0
2011-03-25,8.12,29.0,,,,2600.0,660.0,444.0,,196.0,,,,,104.0,,150.0,0.0,6.1
2011-03-28,7.7,33.0,,,,2500.0,580.0,354.0,,385.0,,,,,120.0,,100.0,0.0,6.1
2011-03-31,8.25,40.0,,,,2850.0,560.0,342.0,,389.0,,,,,130.0,,200.0,0.0,6.1
2011-04-07,7.92,43.0,,,,2500.0,580.0,354.0,,321.0,,,,,122.0,,130.0,0.0,7.0
2011-04-11,8.24,45.0,,,,3100.0,492.0,300.0,,328.0,,,,,132.0,,185.0,0.0,6.5
2011-04-13,7.85,35.0,,,,2500.0,428.0,26.0,,250.0,,,,,70.0,,110.0,0.0,6.1
2011-04-14,8.12,34.0,,,,2410.0,424.0,258.0,,238.0,,,,,68.0,,125.0,0.0,6.2
2011-04-21,8.2,23.0,,,,1500.0,620.0,378.0,,125.0,,,,,67.0,,130.0,0.0,6.0
2011-04-26,7.82,40.0,,,,1060.0,440.0,248.0,,107.0,,,,,50.0,,110.0,0.0,6.0
2011-04-28,8.1,80.0,,,,1250.0,466.0,295.0,,175.0,,,,,62.0,,130.0,0.0,6.0
2011-05-02,8.15,75.0,,,,1340.0,600.0,372.0,,130.0,,,,,75.0,,150.0,0.0,6.1
2011-05-04,8.1,25.0,,,,1450.0,530.0,338.0,,128.0,,,,,81.0,,140.0,0.0,6.1
2011-05-06,7.98,34.0,,,,1440.0,676.0,412.0,,118.0,,,,,78.0,,145.0,0.0,6.0
2011-05-11,8.12,23.0,,,,1450.0,666.0,380.0,,146.0,,,,,80.0,,150.0,0.0,6.0
2011-05-12,7.95,15.0,,,,1400.0,640.0,416.0,,125.0,,,,,84.0,,150.0,0.0,6.0
2011-05-23,7.8,10.0,,,,1200.0,562.0,343.0,,71.0,,,,,50.0,,100.0,0.0,6.0
2011-05-25,8.17,12.0,,,,1115.0,665.0,406.0,,89.0,,,,,58.0,,160.0,0.0,6.0
2011-05-27,8.1,13.0,,,,1130.0,686.0,418.0,,89.0,,,,,65.0,,140.0,0.0,6.0
2011-05-31,7.9,16.0,,,,1200.0,590.0,360.0,,71.0,,,,,73.0,,150.0,0.0,6.0
2011-06-02,7.95,12.0,,,,1090.0,582.0,355.0,,64.0,,,,,68.0,,160.0,0.0,6.0
2011-06-06,7.8,12.0,,,,1050.0,680.0,415.0,,82.0,,,,,65.0,,170.0,0.0,6.0
2011-06-08,8.02,12.0,,,,1100.0,638.0,389.0,,86.0,,,,,83.0,,180.0,0.0,6.0
2011-06-13,8.15,11.0,,,,1080.0,626.0,382.0,,75.0,,,,,84.0,,130.0,0.0,6.0
2011-06-15,8.2,11.0,,,,1220.0,742.0,453.0,,86.0,,,,,95.0,,150.0,0.0,6.0
2011-06-20,8.15,15.0,,,,1300.0,745.0,454.0,,105.0,,,,,95.0,,130.0,0.0,6.0
2011-06-27,8.1,14.0,,,,1380.0,784.0,478.0,,105.0,,,,,96.0,,130.0,0.0,6.0
2011-06-29,8.08,15.0,,,,1555.0,792.0,483.0,,108.0,,,,,100.0,,125.0,0.0,6.1
2011-07-01,8.2,12.0,,,,1400.0,804.0,490.0,,110.0,,,,,89.0,,150.0,0.0,6.1
2011-07-04,8.26,12.0,,,,1300.0,760.0,463.0,,105.0,,,,,70.0,,130.0,0.0,6.0
2011-07-06,7.8,11.0,,,,1200.0,740.0,451.0,,102.0,,,,,65.0,,100.0,0.0,6.1
2011-07-07,7.78,15.0,,,,1258.0,748.0,456.0,,108.0,,,,,68.0,,105.0,0.0,6.1
2011-07-11,7.8,74.0,,,,1500.0,816.0,498.0,,135.0,,,,,80.0,,125.0,0.0,6.0
2011-07-13,7.95,45.0,,,,1250.0,680.0,415.0,,114.0,,,,,70.0,,135.0,0.0,6.0
2011-07-15,7.85,45.0,,,,1450.0,752.0,459.0,,129.0,,,,,82.0,,150.0,0.0,6.1
2011-07-18,7.74,65.0,,,,2350.0,860.0,525.0,,120.0,,,,,90.0,,150.0,0.0,6.1
2011-07-25,7.75,65.0,,,,2300.0,640.0,390.0,,524.0,,,,,,,100.0,0.0,7.0
2011-07-27,7.94,55.0,,,,2100.0,580.0,354.0,,434.0,,,,,,,150.0,0.0,6.0
2011-07-29,8.02,40.0,,,,1800.0,560.0,342.0,,359.0,,,,,,,150.0,0.0,6.1
2011-08-01,8.18,35.0,,,,1615.0,408.0,300.0,,300.0,,,,,80.0,,150.0,0.0,6.0
2011-08-03,7.98,32.0,,,,1610.0,488.0,316.0,,282.0,,,,,78.0,,120.0,0.0,6.1
2011-08-08,8.05,24.0,,,,1830.0,392.0,240.0,,263.0,,,,,85.0,,140.0,0.0,6.4
2011-08-17,8.02,19.0,,,,1700.0,436.0,288.0,,315.0,,,,,100.0,,130.0,0.0,6.2
2011-08-23,8.03,45.0,,,,2205.0,492.0,316.0,,516.0,,,,,100.0,,140.0,0.0,6.0
2011-08-25,8.09,47.0,,,,2290.0,560.0,342.0,,695.0,,,,,110.0,,130.0,0.0,6.3
2011-08-30,8.12,34.0,,,,1500.0,444.0,300.0,,378.0,,,,,89.0,,140.0,0.0,6.0
2011-09-02,8.2,30.0,,,,1700.0,460.0,280.0,,296.0,,,,,80.0,,170.0,0.0,6.1
2011-09-05,8.1,25.0,,,,1670.0,484.0,340.0,,290.0,,,,,,,150.0,0.0,6.0
2011-09-07,8.15,25.0,,,,1580.0,528.0,340.0,,275.0,,,,,,,150.0,0.0,6.0
2011-09-12,8.02,25.0,,,,1500.0,516.0,296.0,,185.0,,,,,,,120.0,0.0,6.0
2011-09-14,8.06,20.0,,,,1340.0,420.0,272.0,,166.0,,,,,72.0,,150.0,0.0,6.0
2011-09-21,8.15,28.0,,,,1910.0,688.0,420.0,,416.0,,,,,100.0,,160.0,0.0,6.5
2011-09-26,8.2,25.0,,,,1475.0,568.0,380.0,,253.0,,,,,80.0,,160.0,0.0,6.1
2011-09-29,8.15,18.0,,,,2360.0,608.0,348.0,,365.0,,,,,,,160.0,0.0,6.1
2011-10-03,8.1,20.0,,,,1825.0,560.0,342.0,,545.0,,,,,89.0,,130.0,0.0,6.2
2011-10-05,8.13,22.0,,,,2220.0,492.0,340.0,,740.0,,,,,93.0,,140.0,0.0,6.5
2011-10-14,8.02,19.0,,,,1280.0,412.0,256.0,,296.0,,,,,85.0,,130.0,0.0,6.2
2011-10-17,8.15,19.0,,,,1320.0,400.0,244.0,,306.0,,,,,88.0,,140.0,0.0,6.2
2011-10-19,8.12,30.0,,,,1340.0,468.0,352.0,,242.0,,,,,92.0,,150.0,0.0,6.4
2011-10-24,8.1,33.0,,,,1400.0,592.0,360.0,,250.0,,,,,100.0,,150.0,0.0,6.5
2011-11-08,8.01,107.0,,,,1695.0,408.0,260.0,,479.0,,,,,101.0,,136.0,0.0,6.5
2011-11-10,8.07,85.0,,,,1680.0,408.0,260.0,,445.0,,,,,110.0,,140.0,0.0,6.0
2011-11-14,8.02,36.0,,,,1310.0,400.0,244.0,,249.0,,,,,99.0,,130.0,0.0,6.5
2011-11-16,8.01,20.0,,,,1510.0,392.0,276.0,,246.0,,,,,,,160.0,0.0,6.5
2011-11-18,8.06,28.0,,,,1420.0,412.0,244.0,,263.0,,,,,103.0,,120.0,0.0,6.2
2011-11-21,8.2,25.0,,,,1670.0,532.0,324.0,,394.0,,,,,109.0,,180.0,0.0,6.8
2011-11-30,8.05,64.0,,,,2190.0,477.0,314.0,,604.0,,,,,118.0,,140.0,0.0,6.5
2011-12-05,8.1,33.0,,,,1680.0,548.0,372.0,,347.0,,,,,92.0,,150.0,0.0,6.5
2011-12-07,8.2,33.0,,,,1700.0,493.0,342.0,,304.0,,,,,89.0,,140.0,0.0,6.4
2011-12-13,8.13,22.0,,,,1666.0,565.0,345.0,,306.0,,,,,84.0,,150.0,0.0,6.5
2011-12-16,8.02,20.0,,,,1680.0,569.0,396.0,,256.0,,,,,85.0,,140.0,0.0,6.2
2011-12-19,8.14,18.0,,,,1640.0,523.0,354.0,,262.0,,,,,,,150.0,0.0,6.5
2011-12-20,8.14,20.0,,,,1630.0,540.0,346.0,,229.0,,,,,104.0,,140.0,0.0,6.8
2011-12-23,8.16,25.0,,,,1550.0,523.0,360.0,,208.0,,,,,89.0,,150.0,0.0,6.0
2011-12-26,8.21,18.0,,,,1540.0,513.0,336.0,,212.0,,,,,87.0,,150.0,0.0,6.5
2012-01-09,8.15,45.0,,,,1905.0,414.0,288.0,,412.0,,,,,,,170.0,0.0,6.5
2012-01-10,8.1,25.0,,,,1910.0,446.0,306.0,,384.0,,,,,,,165.0,0.0,6.5
2012-01-18,8.1,30.0,,,,1850.0,659.0,484.0,,251.0,,,,,,,470.0,0.0,6.0
2012-01-20,8.22,26.0,,,,1680.0,685.0,407.0,,244.0,,,,,,,180.0,0.0,6.3
2012-01-23,8.18,21.0,,,,1565.0,680.0,475.0,,251.0,,,,,,,195.0,0.0,6.5
2012-02-01,8.16,20.0,,,,1730.0,693.0,415.0,,257.0,,,,,,,180.0,0.0,6.2
2012-02-06,8.18,20.0,,,,1865.0,714.0,452.0,,240.0,,,,,,,150.0,0.0,6.5
2012-02-09,8.12,20.0,,,,1620.0,740.0,462.0,,223.0,,,,,,,170.0,0.0,6.5
2012-02-14,8.15,18.0,,,,1760.0,756.0,515.0,,229.0,,,,,110.0,,165.0,0.0,6.8
2012-02-20,8.16,23.0,,,,1660.0,749.0,492.0,,254.0,,,,,,,180.0,0.0,6.3
2012-02-24,8.08,20.0,,,,1650.0,666.0,451.0,,202.0,,,,,108.0,,180.0,0.0,6.8
2012-02-27,8.12,25.0,,,,1531.0,668.0,449.0,,226.0,,,,,,,195.0,0.0,6.2
2012-04-02,8.05,25.0,,,,1590.0,679.0,452.0,,185.0,,,,,102.0,,160.0,0.0,6.0
2012-04-04,8.08,30.0,,,,1629.0,706.0,454.0,,210.0,,,,,105.0,,150.0,0.0,6.2
2012-04-06,7.96,32.0,,,,1574.0,808.0,525.0,,232.0,,,,,110.0,,160.0,0.0,6.5
2012-04-09,,38.0,,,,1670.0,680.0,457.0,,186.0,,,,,90.0,,180.0,0.0,6.3
2012-04-11,8.01,30.0,,,,1520.0,732.0,518.0,,186.0,,,,,110.0,,155.0,0.0,6.8
2012-04-16,7.98,70.0,,,,1540.0,763.0,519.0,,245.0,,,,,98.0,,130.0,0.0,6.2
2012-04-18,7.98,68.0,,,,1780.0,806.0,545.0,,235.0,,,,,101.0,,125.0,0.0,6.5
2012-04-30,8.01,36.0,,,,1510.0,726.0,462.0,,199.0,,,,,98.0,,160.0,0.0,6.0
2012-05-02,7.92,29.0,,,,1700.0,894.0,545.0,,223.0,,,,,102.0,,140.0,0.0,6.2
2012-05-04,8.05,32.0,,,,1670.0,706.0,414.0,,193.0,,,,,105.0,,150.0,0.0,6.5
2012-05-07,8.18,32.0,,,,1625.0,748.0,440.0,,175.0,,,,,102.0,,160.0,0.0,6.3
2012-05-11,8.18,19.0,,,,1515.0,616.0,354.0,,156.0,,,,,102.0,,180.0,0.0,6.3
2012-05-14,8.1,20.0,,,,1530.0,549.0,378.0,,160.0,,,,,106.0,,140.0,0.0,6.3
2012-05-16,8.14,23.0,,,,1502.0,562.0,386.0,,171.0,,,,,104.0,,140.0,0.0,6.5
2012-05-18,8.1,18.0,,,,1480.0,611.0,407.0,,204.0,,,,,102.0,,150.0,0.0,6.2
2012-05-21,8.12,24.0,,,,1520.0,574.0,349.0,,159.0,,,,,99.0,,150.0,0.0,6.0
2012-05-23,8.1,20.0,,,,1480.0,570.0,383.0,,193.0,,,,,102.0,,140.0,0.0,6.1
2012-05-25,7.99,20.0,,,,1410.0,570.0,358.0,,148.0,,,,,94.0,,140.0,0.0,6.2
2012-05-28,8.2,18.0,,,,1320.0,578.0,362.0,,181.0,,,,,90.0,,160.0,0.0,6.0
2012-05-30,8.15,20.0,,,,1380.0,595.0,324.0,,159.0,,,,,98.0,,160.0,0.0,5.0
2012-06-01,7.98,20.0,,,,1290.0,605.0,374.0,,144.0,,,,,92.0,,120.0,0.0,4.0
2012-06-04,8.1,19.0,,,,1170.0,582.0,374.0,,149.0,,,,,89.0,,150.0,0.0,4.0
2012-06-06,8.1,24.0,,,,1150.0,582.0,374.0,,145.0,,,,,85.0,,150.0,0.0,2.4
2012-06-18,8.3,57.0,,,,445.0,270.0,165.0,,72.0,,,,,,,200.0,0.0,1.0
2012-06-19,8.25,60.0,,,,536.0,333.0,203.0,,90.0,,,,,,,200.0,0.0,6.0
2012-06-22,8.04,45.0,,,,650.0,291.0,177.0,,133.0,,,,,,,180.0,0.0,7.0
2012-06-25,8.2,56.0,,,,860.0,437.0,266.0,,154.0,,,,,55.0,,185.0,0.0,7.0
2012-06-27,8.26,33.0,,,,852.0,374.0,228.0,,172.0,,,,,59.0,,200.0,0.0,7.0
2012-06-29,8.1,34.0,,,,1050.0,420.0,245.0,,172.0,,,,,62.0,,180.0,0.0,7.2
2012-07-02,8.2,33.0,,,,1038.0,428.0,236.0,,212.0,,,,,60.0,,190.0,0.0,7.0
